time,concentration
17.11,0.071933755
17.12,0.090024879
17.13,0.118669159
17.14,0.142790657
17.15,0.166912156
17.16,0.191033655
17.20767165,0.219611095
17.23118912,0.246725502
17.25,0.270847
17.30310307,0.29490166
17.37625478,0.312925945
17.44946838,0.329442636
17.54756099,0.339906673
17.69522595,0.342788182
17.91796116,0.316958572
17.92,0.295829981
17.93,0.273216076
17.94,0.253639638
17.95,0.226480672
17.96,0.199343986
17.97,0.170677427
18.04792613,0.15101187
18.07348591,0.128375685
18.12398658,0.098179253
18.14917503,0.08458863
18.15016524,0.060467131
18.22467849,0.045324355
18.24999072,0.028718545
18.34963053,0.001492741
18.47315914,-0.00766422
18.74422894,-0.010924484
18.94128059,-0.011102722
19.1629637,-0.011303239
19.21092696,0.020311668
19.22,0.044433167
19.23,0.07003998
19.24,0.092653885
19.25,0.112252602
19.26,0.139389288
19.27,0.163555347
19.28,0.184639378
19.29,0.208760877
19.3,0.23432313
19.31,0.253921848
19.42202721,0.277909668
19.59351908,0.300367615
19.81489275,0.307705066
19.9885507,0.277397235
20.01429615,0.250238269
20.01565768,0.217071208
20.06566325,0.198935525
20.09165625,0.165746185
20.09264646,0.141624686
20.16765481,0.114421161
20.16852125,0.093314849
20.24365338,0.063096137
20.31847607,0.040415393
20.3442834,0.011748833
20.4434281,-0.003416222
20.54251092,-0.017073684
20.73962446,-0.018759515
