99000 [2.29e+00, 2.07e-01, 7.50e-01, 4.55e-01, 4.50e-01, 1.79e-01, 8.17e-01]
100000 [2.29e+00, 2.07e-01, 7.51e-01, 4.52e-01, 4.48e-01, 1.79e-01, 8.16e-01]
101000 [2.29e+00, 2.06e-01, 7.53e-01, 4.51e-01, 4.46e-01, 1.78e-01, 8.14e-01]
102000 [2.29e+00, 2.06e-01, 7.54e-01, 4.51e-01, 4.44e-01, 1.78e-01, 8.10e-01]
103000 [2.29e+00, 2.05e-01, 7.55e-01, 4.50e-01, 4.43e-01, 1.78e-01, 8.06e-01]
104000 [2.28e+00, 2.07e-01, 7.56e-01, 4.50e-01, 4.41e-01, 1.78e-01, 8.02e-01]
105000 [2.29e+00, 2.08e-01, 7.57e-01, 4.52e-01, 4.40e-01, 1.79e-01, 8.02e-01]
106000 [2.30e+00, 2.09e-01, 7.59e-01, 4.56e-01, 4.38e-01, 1.80e-01, 8.03e-01]
107000 [2.32e+00, 2.10e-01, 7.61e-01, 4.61e-01, 4.38e-01, 1.82e-01, 8.06e-01]
108000 [2.32e+00, 2.09e-01, 7.62e-01, 4.57e-01, 4.37e-01, 1.80e-01, 8.00e-01]
109000 [2.32e+00, 2.08e-01, 7.62e-01, 4.50e-01, 4.35e-01, 1.78e-01, 8.07e-01]
110000 [2.33e+00, 2.08e-01, 7.63e-01, 4.58e-01, 4.34e-01, 1.80e-01, 8.00e-01]
111000 [2.32e+00, 2.06e-01, 7.63e-01, 4.55e-01, 4.32e-01, 1.80e-01, 8.00e-01]
112000 [2.30e+00, 2.07e-01, 7.64e-01, 4.55e-01, 4.31e-01, 1.80e-01, 8.00e-01]
113000 [2.32e+00, 2.08e-01, 7.65e-01, 4.61e-01, 4.30e-01, 1.81e-01, 8.02e-01]
114000 [2.32e+00, 2.07e-01, 7.65e-01, 4.57e-01, 4.28e-01, 1.80e-01, 8.00e-01]
115000 [2.30e+00, 2.06e-01, 7.65e-01, 4.54e-01, 4.27e-01, 1.79e-01, 8.01e-01]
116000 [2.33e+00, 2.09e-01, 7.65e-01, 4.57e-01, 4.26e-01, 1.81e-01, 8.05e-01]
117000 [2.32e+00, 2.08e-01, 7.66e-01, 4.57e-01, 4.25e-01, 1.80e-01, 8.05e-01]
118000 [2.32e+00, 2.07e-01, 7.66e-01, 4.57e-01, 4.24e-01, 1.80e-01, 8.06e-01]
119000 [2.31e+00, 2.08e-01, 7.66e-01, 4.58e-01, 4.23e-01, 1.80e-01, 8.06e-01]
120000 [2.31e+00, 2.09e-01, 7.67e-01, 4.61e-01, 4.22e-01, 1.82e-01, 8.05e-01]
121000 [2.31e+00, 2.11e-01, 7.68e-01, 4.64e-01, 4.21e-01, 1.83e-01, 8.05e-01]
122000 [2.32e+00, 2.11e-01, 7.69e-01, 4.66e-01, 4.20e-01, 1.84e-01, 8.06e-01]
123000 [2.32e+00, 2.13e-01, 7.71e-01, 4.68e-01, 4.20e-01, 1.85e-01, 8.08e-01]
124000 [2.34e+00, 2.13e-01, 7.73e-01, 4.68e-01, 4.19e-01, 1.85e-01, 8.09e-01]
125000 [2.35e+00, 2.14e-01, 7.74e-01, 4.71e-01, 4.18e-01, 1.86e-01, 8.08e-01]
