41400 [9.98e+00, 1.50e+01, 2.67e+00]
42000 [9.98e+00, 1.50e+01, 2.67e+00]
42600 [9.98e+00, 1.50e+01, 2.67e+00]
43200 [9.98e+00, 1.50e+01, 2.67e+00]
43800 [9.98e+00, 1.50e+01, 2.67e+00]
44400 [9.99e+00, 1.50e+01, 2.67e+00]
45000 [9.99e+00, 1.50e+01, 2.67e+00]
45600 [9.99e+00, 1.50e+01, 2.67e+00]
46200 [9.99e+00, 1.50e+01, 2.67e+00]
46800 [9.99e+00, 1.50e+01, 2.67e+00]
47400 [9.99e+00, 1.50e+01, 2.67e+00]
48000 [9.99e+00, 1.50e+01, 2.67e+00]
48600 [9.99e+00, 1.50e+01, 2.67e+00]
49200 [9.99e+00, 1.50e+01, 2.67e+00]
49800 [9.99e+00, 1.50e+01, 2.67e+00]
50400 [9.99e+00, 1.50e+01, 2.67e+00]
51000 [9.99e+00, 1.50e+01, 2.67e+00]
51600 [9.99e+00, 1.50e+01, 2.67e+00]
52200 [9.99e+00, 1.50e+01, 2.67e+00]
52800 [9.99e+00, 1.50e+01, 2.67e+00]
53400 [9.99e+00, 1.50e+01, 2.67e+00]
54000 [9.99e+00, 1.50e+01, 2.67e+00]
54600 [1.00e+01, 1.50e+01, 2.67e+00]
55200 [1.00e+01, 1.50e+01, 2.67e+00]
55800 [1.00e+01, 1.50e+01, 2.67e+00]
56400 [1.00e+01, 1.50e+01, 2.67e+00]
57000 [1.00e+01, 1.50e+01, 2.67e+00]
57600 [1.00e+01, 1.50e+01, 2.67e+00]
58200 [1.00e+01, 1.50e+01, 2.67e+00]
58800 [1.00e+01, 1.50e+01, 2.67e+00]
59400 [1.00e+01, 1.50e+01, 2.67e+00]
60000 [1.00e+01, 1.50e+01, 2.67e+00]
60000 [1.00e+01, 1.50e+01, 2.67e+00]
